attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
29735,Los Angeles Dodgers,Night Game,Cincinnati Reds,Great American Ball Park,Saturday,Overcast,12,2.883333333,regular,Win
21178,Oakland Athletics,Night Game,Chicago White Sox,U.S. Cellular Field,Saturday,Overcast,8,2.55,regular,Win
39373,Houston Astros,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Cloudy,14,3.35,regular,Loss
42421,Washington Nationals,Night Game,Atlanta Braves,Turner Field,Saturday,Cloudy,20,3.433333333,regular,Loss
44129,New York Yankees,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Saturday,Sunny,6,2.85,regular,Loss
15109,Texas Rangers,Night Game,Tampa Bay Rays,Tropicana Field,Friday,In Dome,8,2.933333333,regular,Loss
41434,New York Mets,Night Game,San Francisco Giants,AT&T Park,Friday,Cloudy,9,2.9,regular,Win
37758,Milwaukee Brewers,Night Game,Seattle Mariners,Safeco Field,Friday,Sunny,13,3.35,regular,Win
26080,Arizona Diamondbacks,Night Game,San Diego Padres,Petco Park,Friday,Sunny,11,3.966666667,regular,Win
32357,Miami Marlins,Night Game,Pittsburgh Pirates,PNC Park,Friday,Cloudy,11,3.6,regular,Loss
20627,St. Louis Cardinals,Night Game,Philadelphia Phillies,Citizens Bank Park,Friday,Unknown,7,3.9,regular,Loss
28463,Minnesota Twins,Night Game,Kansas City Royals,Kauffman Stadium,Friday,Cloudy,9,3.733333333,regular,Win
36108,Boston Red Sox,Night Game,Detroit Tigers,Comerica Park,Friday,Unknown,12,2.766666667,regular,Loss
43950,Chicago Cubs,Night Game,Colorado Rockies,Coors Field,Friday,Unknown,13,3.783333333,regular,Win
14108,Miami Marlins,Night Game,Cincinnati Reds,Great American Ball Park,Thursday,Cloudy,9,2.666666667,regular,Win
41407,Milwaukee Brewers,Day Game,Chicago Cubs,Wrigley Field,Thursday,Sunny,15,3.35,regular,Win
20288,Houston Astros,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Thursday,Cloudy,18,2.666666667,regular,Win
24099,Washington Nationals,Night Game,Atlanta Braves,Turner Field,Thursday,Drizzle,10,3.533333333,regular,Loss
37721,Seattle Mariners,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Thursday,Sunny,10,2.966666667,regular,Win
26743,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Wednesday,Overcast,8,2.9,regular,Win
10251,San Diego Padres,Day Game,Tampa Bay Rays,Tropicana Field,Wednesday,In Dome,2,2.533333333,regular,Win
41139,Pittsburgh Pirates,Day Game,San Francisco Giants,AT&T Park,Wednesday,Cloudy,11,3.35,regular,Loss
21137,Los Angeles Dodgers,Night Game,Philadelphia Phillies,Citizens Bank Park,Wednesday,Cloudy,9,3.383333333,regular,Loss
37736,Toronto Blue Jays,Day Game,New York Yankees,Yankee Stadium III,Wednesday,Cloudy,11,2.783333333,regular,Loss
